name,post_modified,post_date,byline,alt_text,description,place_name
BrandonLowe.jpg,06/09/2014,06/09/2014,,,,
ElizabethKingHumphrey.jpg,06/09/2014,06/09/2014,,,,
KelliLevey.jpg,06/09/2014,06/09/2014,,,,
jessicawboehm.jpg,06/09/2014,06/09/2014,,,,
TiffanyWilliams_0.jpg,06/09/2014,06/09/2014,,,,
LynseyFranks.jpg,06/09/2014,06/09/2014,,,,
AmyStumpfl.jpg,06/09/2014,06/09/2014,,,,
ElizabethSims.jpg,06/09/2014,06/09/2014,,,,
MeganPacellaED.jpg,06/09/2014,06/09/2014,,,,
JessicaMozo.jpg,06/09/2014,06/09/2014,,,,
NancyJackson.gif,06/09/2014,06/09/2014,,,,
Karen_Schwartzman_2010_0.jpg,11/09/2017,06/09/2014,,,,
Joe-Rada_0.jpg,11/09/2017,06/09/2014,,,,
Barb_bio_pic_0_0.jpg,11/09/2017,06/09/2014,,,,
MeloneeHurt.jpg,06/09/2014,06/09/2014,,,,
Anna_Beth_Blevins_2012_0.jpg,11/09/2017,06/09/2014,,,,
KTBio photo.jpg,06/09/2014,06/09/2014,,,,
KathieStamps_0.jpg,06/09/2014,06/09/2014,,,,
Leanne Libby bio photo.jpg,06/09/2014,06/09/2014,,,,
Carol Stuart photo.jpg,06/09/2014,06/09/2014,,,,
HeatherRJohnson1.jpg,06/09/2014,06/09/2014,,,,
Jason-Zasky.jpg,06/09/2014,06/09/2014,,,,
MilesBritton_headshot-.jpg,06/09/2014,06/09/2014,,,,
cyndiet.jpg,06/09/2014,06/09/2014,,,,
1Anaheim Resort district_photo by flickr user OZinOH.jpg,06/18/2014,06/18/2014,cc_fliker user OZinOH,,,Anaheim
1Reiman Gardens.JPG,06/18/2014,06/18/2014,Ames Chamber of Commerce,"Reiman Gardens in Ames, IA",,Ames
,06/14/2017,06/18/2014,Courtesy of Cardinalngold at Wikipedia under public domain.,Torrance CA,,Torrance
1Barney's- Credit- Downtown Burbank.jpg,06/18/2014,06/18/2014,"Downtown Burbank Partnership, Inc.","Barney's in Burbank, CA",,
1City-of-Irvine.jpg,05/10/2017,06/19/2014,Courtesy of City of Irvine,"City of Irvine, CA","City of Irvine, CA",Irvine
151SANBARSUB_01.jpg,07/10/2017,06/19/2014,Bill Zeldis,City of Santa Barbara,City of Santa Barbara,
151SANROSSUB_01.jpg,06/19/2014,06/19/2014,Santa Rosa Convention and Visitor Bureau,"Peanuts Sculptures in Santa Rosa, CA","Santa Rosa is home to several Peanuts sculptures commissioned by city and county agencies to honor Peanuts creator and Santa Rosa resident Charles M. ""Sparky"" Schulz.",Santa Rosa
151ORLSUB_01.jpg,06/19/2014,06/19/2014,Courtsey of Visit Orlando,"Orlando, FL Skyline","Orlando, FL Skyline",Orlando
151FREDSUB_05.jpg,06/19/2014,06/19/2014,Vladimir Ivanov,"City of Frederick, MD","City of Frederick, MD",Frederick
151TACSUB_08.JPG_.jpg,06/19/2014,06/19/2014,"Photo courtesy of Downtown: On the Go!, Tacoma, WA.","Beautiful Scenery in Tacoma, WA","Walking on Dock with Mountain & Kayak. Photo courtesy of Downtown: On the Go!, Tacoma, WA.",Tacoma
151TALSUB_01cr.jpg,06/19/2014,06/19/2014,"Glenn Hastings / Destination Style, Courtesy of Visit Tallahassee","Downtown Tallahassee, Florida","Downtown Tallahassee, Florida",Tallahassee
151TEMSUB_001.jpg,06/19/2017,06/19/2014,"Tim Trumble, via Tempe Tourism Office","Beautiful Tempe, AZ on the shore of Tempe Town Lake","The city of Tempe, Arizona as seen from Tempe Town Lake.",Tempe
151SANMONSUB_001.jpg,06/15/2017,06/19/2014,Courtesy of Santa Monica Convention & Visitors Bureau,Downtown Santa Monica & Third Street Promenade,Downtown Santa Monica &amp; Third Street Promenade,Santa Monica
151FRECASUB_01.jpg,06/15/2017,06/19/2014,Courtesy of Fremont Chamber of Commerce,"City of Fremont, CA","City of Fremont, CA",Fremont
151GLENSUB_01.jpg,06/19/2014,06/19/2014,courtesy of City of Glendale,"Downtown Glendale, CA","Downtown Glendale, CA",Glendale
151SLOSUB_01.jpg,05/08/2017,06/20/2014,Courtesy of the the City of San Luis Obispo,Madonna Mountain is in the center of the City of San Luis Obispo.,Madonna Mountain is in the center of the City of San Luis Obispo.,San Luis Obispo
151DENTSUB_01.jpg,06/20/2014,06/20/2014,(c)MIKE MEZEUL II,"Denton Square in Denton, TX","Denton Square in Denton, TX",Denton
151STPESUB_01.jpg,06/20/2014,06/20/2014,Nicholas A Collura-Gehrt,"St. Petersburg, FL Shoreline","St. Petersburg, FL Shoreline, photo courtesy of Visit St. Petersberg/Clearwater.",St. Petersburg
151GREENSUB_01.jpg,06/20/2014,06/20/2014,Kris Decker - Firewater Photography,"Downtown Greenville, SC","Downtown Greenville, SC",Greenville
151STPAULSUB_01.jpg,06/20/2014,06/20/2014,Geoff Myers,"St. Paul, MN Skyline","St. Paul, MN Skyline",St. Paul
151WPBSUB_01.jpg,06/20/2014,06/20/2014,Palm Beach County CVB,"West Palm Beach, FL Shoreline","West Palm Beach, FL Shoreline",West Palm Beach
151DESMSUB_01.png,06/20/2014,06/20/2014,Greater Des Moines CVB,"City of Des Moines, IA","City of Des Moines, IA",Des Moines
151SKOKSUB_01.jpg,06/20/2014,06/20/2014,"Village of Skokie, Illinois","SkokieTheatre in Skokie, IL","SkokieTheatre in Skokie, IL",Skokie
151EVERSUB_01.jpg,06/20/2014,06/20/2014,Experience Everett,"Everett Marina in Everett, WA","Beautiful sunset at Everett Marina in Everett, WA.",Everett
151COLGASUB_01.jpg,06/20/2014,06/20/2014,Ralph Daniel,"Whitewater Rafting on the Chattahoochee River in Columbus, Georgia","Whitewater Rafting on the Chattahoochee River in Columbus, Georgia",Columbus
151STAMSUB_01.jpg,06/20/2014,06/20/2014,courtesy of City of Stamford,"Train Station in Stamford, CT","Train Station in Stamford, CT",Stamford
7861110AB5925_4.jpg,08/20/2014,08/20/2014,Antony Boshier,"Trinity River Trails in Fort Worth, TX","Trinity River Trails, a 40-mile riverside greenway system of walking, biking, horseback and hiking trails connects 21 parks, the Fort Worth Botanic Gardens, the Fort Worth Zoo, the Historic Stockyards and downtown.",Fort Worth
7861110AB6323_5.jpg,08/20/2014,08/20/2014,Antony Boshier,Downtown Fort Worth Skyline,Downtown Fort Worth Skyline as seen from the Trinity River Trails in Trinity Park.,Fort Worth
7861110AB6601_1.jpg,08/20/2014,08/20/2014,Antony Boshier,"Tarrant County College in Fort Worth, TX","Tarrant County College campus is located in downtown Forth Worth, Texas. The college works with the local workforce to provide job training in the community.",Fort Worth
78611SUB003_7.jpg,08/20/2014,08/20/2014,,"Bass Performance Hall in Fort Worth, TX","Bass Performance Hall houses Fort Worth's orchestra, ballet, and opera. Photo courtesy of Ed Schipul",Fort Worth
78611SUB004.jpg,08/01/2017,08/20/2014,Courtesy of Bill Abbott under a CC 3.0 license.,"Fort Worth, TX","DFW International Airport is one of the most prominent businesses in Fort Worth, TX.",Fort Worth
7861110AB5730_2.jpg,08/20/2014,08/20/2014,Antony Boshier,"The Plaza Medical Center in Fort Worth, Texas","The Plaza Medical Center is one of the many top-notch hospitals in the Fort Worth, Texas area.",Fort Worth
7861111BM0082.jpg,08/20/2014,08/20/2014,Brian McCord,"Berkeley Place neighborhood in Fort Worth, TX","Homes in the Berkeley Place neighborhood in Fort Worth, Texas",Fort Worth
7861110AB6694_0.jpg,08/20/2014,08/20/2014,Antony Boshier,The Colonial Country Club,Golfing at The Colonial Country Club.   The Colonial Country Club is a private country club in Forth Worth Texas.,Fort Worth
6470410JWA6751_0.jpg,08/20/2014,08/20/2014,Jeff Adkins,"Paramount Theatre in Kankakee, IL","The Paramount Theatre in Kankakee, Illinois originally opened in 1931.",Kankakee
6470605AJB6676_1.jpg,08/20/2014,08/20/2014,Antony Boshier,,Residential development at Bon Vivant Country Club in Bourbonnais offers upscale homes with easy access to one of the top golf courses in the state.,Kankakee
7371008THB1558_0.jpg,08/20/2014,08/20/2014,Todd Bennett,"Wildwood Park and Zoo Walking Trail in Marshfield, WI","Hike or walk right by the animals at Wildwood Park and Zoo Marshfield, WI. We named it one of our http://livability.com/top-10/10-great-hiking-trails/marshfield/wi"">10 Great Hiking Trails.",Marshfield
3560508IC0054_1.jpg,08/20/2014,08/20/2014,Ian Curcio,"Cape Fear River Trail in Fayetteville, NC",,Fayetteville
6351108BM5965_1.jpg,08/20/2014,08/20/2014,Brian McCord,"Vedauwoo in Cheyenne, WY","Located about 20 miles west of Cheyenne, Vedauwoo is a popular climbing area and a hotspot for Mountain bikers, anglers, hikers, cross-country skiers, snowshoers and rock climbers.",Cheyenne
6051008JWA4555_1.jpg,08/20/2014,08/20/2014,Jeff Adkins,"Garden of the Gods in Colorado Springs, CO","Garden of the Gods in Colorado Springs, Colorado offers challenging hiking trails.",Colorado Springs
7130508JK3295_4.jpg,08/20/2014,08/20/2014,Jesse Knish,"Palo Duro Canyon in Amarillo, TX","Palo Duro Canyon State Park opened on July 4, 1934 and contains 26,275 acres of the scenic, northern most portion of the Palo Duro Canyon.",Amarillo
IAIL_ED08_2.jpg,08/20/2014,08/20/2014,Staff Photo,The Farnsworth House,,
6991209BM0860.jpg,08/20/2014,08/20/2014,Brian McCord,"The Sandia Mountains in Albuquerque, NM","A hiker makes his way up a trail along the Sandia Mountains in Albuquerque, New Mexico.",
151AND0708IC0054_0.jpg,08/20/2014,08/20/2014,Ian Curcio,Kid Venture Playground,Kid Venture playground is near the Anderson Civic Center.,Anderson
6991209BM1189_2.jpg,08/20/2014,08/20/2014,Brian McCord,"Downtown Albuquerque, NM","The downtown Albuquerque, NM skyline at dusk with the Sandia Mountains in the background.",
6990109BM1097_0.jpg,08/20/2014,08/20/2014,Brian McCord,Shopping in Albuquerque,This fine jewelry is for sale by sidewalk merchants in historic Old Town Albuquerque.,
7551108JWA2733_3.jpg,08/20/2014,08/20/2014,Jeff Adkins,University Park,"The colorfully painted buildings at Don Drumm Studios and Gallery brighten up the University Park neighborhood in Akron, Ohio.  A strong testament to the vibrancy of Akron's neighborhoods can be seen in the University Park area, home to some 300 businesses and 15,000 residents.",Akron
6990207MWB011_2.jpg,08/20/2014,08/20/2014,Michael W. Bunch,"Route 66 Neon in Albuquerque, NM","The Nob Hill Highland District is historic since Route 66 runs right through it in Albuquerque, NM.",
3591205BM3913_0.jpg,08/20/2014,08/20/2014,Brian McCord,"Richard Petty Museum in Asheboro, NC",Visit the Richard Petty Museum to marvel at the history of NASCAR and one of its  most legendary drivers.,Asheboro
